#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Jan 31 17:51:33 EST 2020,75,75,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest0+ GetTest1+ InsertTest0+ InsertTest2+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,EverythingTest1- InsertTest1- InsertTest3- InsortTest0- InsortTest1- , ,
1,Fri Jan 31 17:51:39 EST 2020,75,0,EverythingTestSuite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 InsortTest0 InsortTest1 , ,
2,Fri Jan 31 17:51:41 EST 2020,75,0,EverythingTestSuite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 InsortTest0 InsortTest1 , ,
3,Fri Jan 31 17:51:43 EST 2020,75,0,EverythingTestSuite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 InsortTest0 InsortTest1 , ,
4,Fri Jan 31 18:13:39 EST 2020,85,10,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 InsortTest0+ InsortTest1+ RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 , ,
5,Fri Jan 31 18:16:48 EST 2020,85,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 , ,
6,Fri Jan 31 18:18:08 EST 2020,85,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 , ,
7,Sat Feb 01 16:23:31 EST 2020,85,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest1 InsertTest3 , ,
8,Sat Feb 01 18:43:14 EST 2020,90,5,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1+ InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EverythingTest1 InsertTest3 , ,
9,Sat Feb 01 19:13:39 EST 2020,95,5,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 EverythingTest1+ GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,InsertTest3 , ,
10,Sat Feb 01 19:14:49 EST 2020,95,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,InsertTest3 , ,
11,Sat Feb 01 19:15:29 EST 2020,95,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,InsertTest3 , ,
12,Sat Feb 01 19:15:59 EST 2020,95,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,InsertTest3 , ,
13,Sat Feb 01 19:20:13 EST 2020,95,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,InsertTest3 , ,
14,Sat Feb 01 19:21:01 EST 2020,100,5,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 EverythingTest1 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3+ InsortTest0 InsortTest1 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
